Date,Adj Close,Close,High,Low,Open,Volume
2019-08-01 00:00:00,114.5,114.5,117.0,113.0,114.0,558
2019-08-02 00:00:00,112.5,112.5,116.5,109.0,116.5,516
2019-08-05 00:00:00,107.5,107.5,110.5,102.5,109.0,562
2019-08-06 00:00:00,107.0,107.0,110.5,105.5,109.0,166
2019-08-07 00:00:00,108.5,108.5,108.5,105.5,108.0,144
2019-08-08 00:00:00,108.5,108.5,111.5,105.5,108.0,508
2019-08-09 00:00:00,107.5,107.5,110.0,105.0,109.5,1008
2019-08-12 00:00:00,103.5,103.5,107.0,102.5,106.5,496
2019-08-13 00:00:00,104.5,104.5,105.0,100.0,103.5,896
2019-08-14 00:00:00,102.0,102.0,105.0,99.0,105.0,878
2019-08-15 00:00:00,99.5,99.5,101.5,97.0,101.0,592
2019-08-16 00:00:00,102.5,102.5,103.5,96.5,98.0,1136
2019-08-19 00:00:00,107.5,107.5,109.5,100.5,102.0,1198
2019-08-20 00:00:00,100.5,100.5,105.0,97.0,105.0,790
2019-08-21 00:00:00,101.5,101.5,103.5,97.0,100.0,422
2019-08-22 00:00:00,98.0,98.0,101.5,98.0,100.5,416
2019-08-23 00:00:00,101.0,101.0,110.0,98.5,99.0,1214
2019-08-26 00:00:00,103.0,103.0,106.5,99.0,100.5,1000
2019-08-27 00:00:00,112.0,112.0,121.0,101.0,101.0,2688
2019-08-28 00:00:00,106.0,106.0,112.5,105.5,112.5,602
2019-08-29 00:00:00,98.0,98.0,106.0,97.5,106.0,1034
2019-08-30 00:00:00,98.0,98.0,102.5,96.5,98.0,1452
2019-09-03 00:00:00,97.5,97.5,102.0,95.0,97.0,582
2019-09-04 00:00:00,95.0,95.0,100.0,92.5,96.0,866
2019-09-05 00:00:00,94.0,94.0,96.0,92.0,94.0,196
2019-09-06 00:00:00,97.0,97.0,100.0,94.0,94.0,140
2019-09-09 00:00:00,92.0,92.0,96.0,91.5,96.0,612
2019-09-10 00:00:00,102.0,102.0,104.0,93.5,93.5,1250
2019-09-11 00:00:00,100.0,100.0,103.0,97.0,102.5,978
2019-09-12 00:00:00,101.5,101.5,103.5,97.5,98.5,298
2019-09-13 00:00:00,101.5,101.5,104.5,99.5,104.5,456
2019-09-16 00:00:00,109.5,109.5,113.5,100.5,103.0,1428
2019-09-17 00:00:00,101.5,101.5,109.5,101.5,107.5,594
2019-09-18 00:00:00,103.5,103.5,110.0,101.0,101.5,1294
2019-09-19 00:00:00,106.5,106.5,106.5,102.5,102.5,700
2019-09-20 00:00:00,110.0,110.0,110.0,105.0,107.5,380
2019-09-23 00:00:00,105.5,105.5,110.0,100.5,106.5,694
2019-09-24 00:00:00,105.5,105.5,107.5,101.0,107.0,652
2019-09-25 00:00:00,103.0,103.0,110.0,101.5,103.5,612
2019-09-26 00:00:00,99.0,99.0,105.0,97.5,102.0,440
2019-09-27 00:00:00,99.0,99.0,102.0,95.5,99.0,732
2019-09-30 00:00:00,92.5,92.5,96.0,92.5,96.0,504
2019-10-01 00:00:00,94.5,94.5,96.5,92.0,92.0,120
2019-10-02 00:00:00,90.5,90.5,94.0,89.5,91.0,470
2019-10-03 00:00:00,94.5,94.5,94.5,91.5,92.5,244
2019-10-04 00:00:00,89.5,89.5,94.0,89.5,94.0,352
2019-10-07 00:00:00,90.0,90.0,94.0,90.0,90.0,160
2019-10-08 00:00:00,90.0,90.0,92.5,89.5,90.5,218
2019-10-09 00:00:00,90.0,90.0,92.5,89.5,89.5,126
2019-10-10 00:00:00,87.5,87.5,90.5,87.5,90.0,296
2019-10-11 00:00:00,89.0,89.0,90.0,87.0,87.0,214
2019-10-14 00:00:00,87.5,87.5,89.5,85.5,89.5,596
2019-10-15 00:00:00,87.5,87.5,92.0,87.5,87.5,202
2019-10-16 00:00:00,85.0,85.0,98.5,80.0,88.0,5960
2019-10-17 00:00:00,70.0,70.0,80.0,65.5,80.0,6050
2019-10-18 00:00:00,67.5,67.5,71.5,67.5,70.0,1174
2019-10-21 00:00:00,61.5,61.5,69.0,61.5,67.5,1524
2019-10-22 00:00:00,63.0,63.0,65.0,61.5,64.5,2406
2019-10-23 00:00:00,65.0,65.0,65.5,62.0,63.5,1160
2019-10-24 00:00:00,58.5,58.5,64.0,58.5,64.0,2022
2019-10-25 00:00:00,63.5,63.5,63.5,56.5,56.5,8552
2019-10-28 00:00:00,54.5,54.5,69.0,52.5,69.0,6710
2019-10-29 00:00:00,41.5,41.5,52.5,30.0,52.5,15254
2019-10-30 00:00:00,30.0,30.0,40.0,28.5,40.0,16986
2019-10-31 00:00:00,42.0,42.0,43.0,33.5,38.0,20270
2019-11-01 00:00:00,38.0,38.0,45.0,36.0,42.5,9318
2019-11-04 00:00:00,32.5,32.5,39.0,31.5,39.0,12998
2019-11-05 00:00:00,32.5,32.5,35.5,32.5,33.5,3498
2019-11-06 00:00:00,30.0,30.0,38.5,28.5,38.5,11574
2019-11-07 00:00:00,34.0,34.0,35.0,30.5,35.0,4168
2019-11-08 00:00:00,38.0,38.0,39.5,32.5,33.5,7080
2019-11-11 00:00:00,31.0,31.0,37.0,30.0,37.0,9378
2019-11-12 00:00:00,27.5,27.5,32.0,25.5,31.5,7174
