Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-12-26,-1.281822419879208,-0.011244894267391578,3.215310288719539,-1.3206489756464106,-1.3436086503890996,-1.3270359854512124,-1.3213842964920564,-1.3270359854512124,-1.3326876744103682,-1.3270359854512124,1
2017-12-27,-1.2874741357877426,-0.08321201027602534,-0.4147474718562239,-1.3184701638481964,-1.3412023566150395,-1.281822419879208,-1.3270359854512124,-1.3213842964920564,-1.3270359854512124,-1.3326876744103682,0
2017-12-28,-1.2931258247468986,-0.10502782593021048,-0.42094086286032417,-1.3160190008998733,-1.3391662619849838,-1.2874741357877426,-1.281822419879208,-1.3270359854512124,-1.3213842964920564,-1.3270359854512124,0
2017-12-29,-1.2902999667926314,-0.13231013332303054,0.12123762729474331,-1.3152019461508748,-1.3366211434767583,-1.2931258247468986,-1.2874741357877426,-1.281822419879208,-1.3270359854512124,-1.3213842964920564,1
2018-01-02,-1.2846482778334753,-0.1156599016053536,0.3008648392243228,-1.313023135651333,-1.3339834752928597,-1.2902999667926314,-1.2931258247468986,-1.2874741357877426,-1.281822419879208,-1.3270359854512124,1
2018-01-03,-1.2761707309200523,-0.1136036982908212,0.4726557267550262,-1.3111166763019002,-1.3313920821674534,-1.2846482778334753,-1.2902999667926314,-1.2931258247468986,-1.2874741357877426,-1.281822419879208,1
2018-01-04,-1.2705190419608965,-0.12313244535816643,0.28550497835567645,-1.3094825681025757,-1.3285693146322084,-1.2761707309200523,-1.2846482778334753,-1.2902999667926314,-1.2931258247468986,-1.2874741357877426,1
2018-01-05,-1.2789965888743196,-0.13446663923827182,-0.5736496759463892,-1.306759054004144,-1.3261630208581485,-1.2705190419608965,-1.2761707309200523,-1.2846482778334753,-1.2902999667926314,-1.2931258247468986,0
2018-01-08,-1.281822419879208,-0.13657299385315866,-0.23667695862685081,-1.304307891055821,-1.323627157538146,-1.2789965888743196,-1.2705190419608965,-1.2761707309200523,-1.2846482778334753,-1.2902999667926314,0
2018-01-09,-1.2874741357877426,-0.1408358543832868,-0.4147474718562239,-1.301856728107498,-1.3211283136471015,-1.281822419879208,-1.2789965888743196,-1.2705190419608965,-1.2761707309200523,-1.2846482778334753,0
2018-01-10,-1.2874741357877426,-0.1431929654999459,-0.06162788313505841,-1.298997037784676,-1.3184906454632026,-1.2874741357877426,-1.281822419879208,-1.2789965888743196,-1.2705190419608965,-1.2761707309200523,1
2018-01-11,-1.281822419879208,-0.1459011357190861,0.2976868099296483,-1.2965458761350255,-1.315991801572158,-1.2874741357877426,-1.2874741357877426,-1.281822419879208,-1.2789965888743196,-1.2705190419608965,1
2018-01-12,-1.281822419879208,-0.14469750451057933,-0.06162788313505841,-1.2949117666370284,-1.3133541333882592,-1.281822419879208,-1.2874741357877426,-1.2874741357877426,-1.281822419879208,-1.2789965888743196,1
