Date,Close,lag_1,label
2018-12-13,189.5,207.0,1
2018-12-14,184.25,189.5,1
2018-12-17,182.75,184.25,1
2018-12-18,179.75,182.75,1
2018-12-19,169.25,179.75,1
2018-12-20,167.75,169.25,1
2018-12-21,163.5,167.75,1
2018-12-24,160.0,163.5,1
2018-12-26,166.75,160.0,0
2018-12-27,166.0,166.75,1
2018-12-28,175.5,166.0,0
2018-12-31,178.5,175.5,0
2019-01-02,175.75,178.5,1
2019-01-03,165.5,175.75,1
2019-01-04,175.5,165.5,0
2019-01-07,187.75,175.5,0
2019-01-08,182.75,187.75,1
2019-01-09,182.75,182.75,0
2019-01-10,180.75,182.75,1
2019-01-11,178.5,180.75,1
2019-01-14,174.25,178.5,1
2019-01-15,180.25,174.25,0
2019-01-16,175.5,180.25,1
2019-01-17,178.0,175.5,0
2019-01-18,181.5,178.0,0
2019-01-22,172.25,181.5,1
2019-01-23,168.75,172.25,1
2019-01-24,172.75,168.75,0
2019-01-25,176.0,172.75,0
2019-01-28,173.5,176.0,1
2019-01-29,161.5,173.5,1
2019-01-30,164.75,161.5,0
2019-01-31,169.75,164.75,0
2019-02-01,170.25,169.75,0
2019-02-04,190.0,170.25,0
2019-02-05,180.75,190.0,1
2019-02-06,180.0,180.75,1
2019-02-07,165.5,180.0,1
2019-02-08,163.25,165.5,1
2019-02-11,167.5,163.25,0
2019-02-12,167.0,167.5,1
2019-02-13,164.75,167.0,1
2019-02-14,162.5,164.75,1
2019-02-15,165.75,162.5,0
2019-02-19,167.0,165.75,0
2019-02-20,163.75,167.0,1
2019-02-21,159.5,163.75,1
2019-02-22,161.75,159.5,0
2019-02-25,183.25,161.75,0
2019-02-26,176.75,183.25,1
2019-02-27,177.5,176.75,0
2019-02-28,175.5,177.5,1
2019-03-01,190.25,175.5,0
2019-03-04,199.0,190.25,0
2019-03-05,195.75,199.0,1
2019-03-06,176.25,195.75,1
2019-03-07,181.0,176.25,0
2019-03-08,179.25,181.0,1
2019-03-11,188.0,179.25,0
2019-03-12,191.0,188.0,0
2019-03-13,185.75,191.0,1
2019-03-14,185.5,185.75,1
2019-03-15,202.5,185.5,0
2019-03-18,202.25,202.5,1
2019-03-19,198.5,202.25,1
2019-03-20,196.5,198.5,1
2019-03-21,207.75,196.5,0
2019-03-22,188.0,207.75,1
2019-03-25,187.75,188.0,1
2019-03-26,186.75,187.75,1
2019-03-27,179.25,186.75,1
2019-03-28,181.75,179.25,0
2019-03-29,184.0,181.75,0
2019-04-01,184.25,184.0,0
2019-04-02,186.75,184.25,0
2019-04-03,189.75,186.75,0
2019-04-04,190.75,189.75,0
2019-04-05,191.25,190.75,0
2019-04-08,189.75,191.25,1
2019-04-09,181.0,189.75,1
2019-04-10,188.5,181.0,0
2019-04-11,191.0,188.5,0
2019-04-12,192.25,191.0,0
2019-04-15,192.0,192.25,1
2019-04-16,203.0,192.0,0
2019-04-17,204.5,203.0,0
2019-04-18,199.0,204.5,1
2019-04-22,199.75,199.0,0
2019-04-23,206.0,199.75,0
2019-04-24,207.0,206.0,0
2019-04-25,206.75,207.0,1
2019-04-26,203.75,206.75,1
2019-04-29,204.25,203.75,0
2019-04-30,192.5,204.25,1
2019-05-01,193.0,192.5,0
2019-05-02,193.25,193.0,0
2019-05-03,195.5,193.25,0
2019-05-06,200.5,195.5,0
2019-05-07,196.5,200.5,1
2019-05-08,196.75,196.5,0
2019-05-09,194.25,196.75,1
2019-05-10,192.0,194.25,1
2019-05-13,176.25,192.0,1
2019-05-14,182.25,176.25,0
2019-05-15,182.0,182.25,1
2019-05-16,186.25,182.0,0
2019-05-17,186.0,186.25,1
2019-05-20,183.5,186.0,1
2019-05-21,185.5,183.5,0
2019-05-22,175.25,185.5,1
2019-05-23,162.25,175.25,1
2019-05-24,163.75,162.25,0
2019-05-28,155.0,163.75,1
2019-05-29,154.25,155.0,1
2019-05-30,143.75,154.25,1
2019-05-31,136.0,143.75,1
